"EventID","SeineLength","SeineWidth","SeineDepth","SeineVolume","TrapStatus","TrapHours","RevCounter","TotalRevs","CommentRevs"
2021,8,9,NA,NA,NA,NA,NA,NA,""
2022,15,3,NA,NA,NA,NA,NA,NA,""
2063,8,15,NA,NA,NA,NA,NA,NA,""
2064,6,15,NA,NA,NA,NA,NA,NA,""
2065,15,10,NA,NA,NA,NA,NA,NA,""
310,12,15,NA,NA,NA,NA,NA,NA,""
43,7,7,NA,NA,NA,NA,NA,NA,""
44,6,9,NA,NA,NA,NA,NA,NA,""
1186,8,15,NA,NA,NA,NA,NA,NA,""
107,4,4,NA,NA,NA,NA,NA,NA,""
108,4,4,NA,NA,NA,NA,NA,NA,""
1131,8,5,NA,NA,NA,NA,NA,NA,""
45,7,3,NA,NA,NA,NA,NA,NA,""
1187,15,2,NA,NA,NA,NA,NA,NA,""
2068,15,4,NA,NA,NA,NA,NA,NA,""
311,13,2,NA,NA,NA,NA,NA,NA,""
1188,7,15,NA,NA,NA,NA,NA,NA,""
1189,7,17,NA,NA,NA,NA,NA,NA,""
2075,14,3,NA,NA,NA,NA,NA,NA,""
1132,15,7,NA,NA,NA,NA,NA,NA,""
1190,2,15,NA,NA,NA,NA,NA,NA,""
1191,NA,15,NA,NA,NA,NA,NA,NA,""
2090,10,15,NA,NA,NA,NA,NA,NA,""
2091,NA,14,NA,NA,NA,NA,NA,NA,""
2093,13,3,NA,NA,NA,NA,NA,NA,""
1133,15,10,NA,NA,NA,NA,NA,NA,""
2096,15,3,NA,NA,NA,NA,NA,NA,""
109,7,5,NA,NA,NA,NA,NA,NA,""
46,6,14,NA,NA,NA,NA,NA,NA,""
1134,15,14,NA,NA,NA,NA,NA,NA,""
47,15,9,NA,NA,NA,NA,NA,NA,""
2098,15,3,NA,NA,NA,NA,NA,NA,""
1192,15,7,NA,NA,NA,NA,NA,NA,""
1193,15,7,NA,NA,NA,NA,NA,NA,""
323,15,6,NA,NA,NA,NA,NA,NA,""
324,15,10,NA,NA,NA,NA,NA,NA,""
48,16,11,NA,NA,NA,NA,NA,NA,""
2106,15,7,NA,NA,NA,NA,NA,NA,""
2107,11,6,NA,NA,NA,NA,NA,NA,""
2108,7,15,NA,NA,NA,NA,NA,NA,""
2109,9,15,NA,NA,NA,NA,NA,NA,""
325,11,15,NA,NA,NA,NA,NA,NA,""
326,11,7,NA,NA,NA,NA,NA,NA,""
1135,15,7,NA,NA,NA,NA,NA,NA,""
1194,15,11,NA,NA,NA,NA,NA,NA,""
49,3,14,NA,NA,NA,NA,NA,NA,""
1136,15,6,NA,NA,NA,NA,NA,NA,""
1137,15,14,NA,NA,NA,NA,NA,NA,""
2110,5,15,NA,NA,NA,NA,NA,NA,""
2111,NA,NA,NA,NA,NA,NA,NA,NA,""
327,10,15,NA,NA,NA,NA,NA,NA,""
328,15,15,NA,NA,NA,NA,NA,NA,""
2112,15,15,NA,NA,NA,NA,NA,NA,""
2113,10,15,NA,NA,NA,NA,NA,NA,""
110,33,10,NA,NA,NA,NA,NA,NA,""
111,33,10,NA,NA,NA,NA,NA,NA,""
112,33,10,NA,NA,NA,NA,NA,NA,""
113,50,10,NA,NA,NA,NA,NA,NA,""
114,50,10,NA,NA,NA,NA,NA,NA,""
115,50,10,NA,NA,NA,NA,NA,NA,""
116,50,10,NA,NA,NA,NA,NA,NA,""
117,30,10,NA,NA,NA,NA,NA,NA,""
118,30,10,NA,NA,NA,NA,NA,NA,""
1138,23,6,NA,NA,NA,NA,NA,NA,""
1139,23,6,NA,NA,NA,NA,NA,NA,""
1140,23,6,NA,NA,NA,NA,NA,NA,""
1141,15,9,NA,NA,NA,NA,NA,NA,""
1142,15,9,NA,NA,NA,NA,NA,NA,""
1143,15,9,NA,NA,NA,NA,NA,NA,""
1144,5,5,NA,NA,NA,NA,NA,NA,""
119,15,4,NA,NA,NA,NA,NA,NA,""
120,10,7,NA,NA,NA,NA,NA,NA,""
121,7,9,NA,NA,NA,NA,NA,NA,""
122,25,7,NA,NA,NA,NA,NA,NA,""
123,25,8,NA,NA,NA,NA,NA,NA,""
124,6,8,NA,NA,NA,NA,NA,NA,""
125,6,8,NA,NA,NA,NA,NA,NA,""
126,6,8,NA,NA,NA,NA,NA,NA,""
127,15,11,NA,NA,NA,NA,NA,NA,""
2114,4,9,NA,NA,NA,NA,NA,NA,""
2115,15,9,NA,NA,NA,NA,NA,NA,""
2116,12,NA,NA,NA,NA,NA,NA,NA,""
2117,12,NA,NA,NA,NA,NA,NA,NA,""
50,9,15,NA,NA,NA,NA,NA,NA,""
51,15,15,NA,NA,NA,NA,NA,NA,""
52,15,9,NA,NA,NA,NA,NA,NA,""
53,15,9,NA,NA,NA,NA,NA,NA,""
54,15,9,NA,NA,NA,NA,NA,NA,""
55,12,15,NA,NA,NA,NA,NA,NA,""
1195,8,15,NA,NA,NA,NA,NA,NA,""
56,15,9,NA,NA,NA,NA,NA,NA,""
57,15,9,NA,NA,NA,NA,NA,NA,""
58,15,15,NA,NA,NA,NA,NA,NA,""
59,15,15,NA,NA,NA,NA,NA,NA,""
329,15,10,NA,NA,NA,NA,NA,NA,""
330,15,15,NA,NA,NA,NA,NA,NA,""
2118,15,9,NA,NA,NA,NA,NA,NA,""
2119,11,15,NA,NA,NA,NA,NA,NA,""
2120,15,9,NA,NA,NA,NA,NA,NA,""
2121,15,9,NA,NA,NA,NA,NA,NA,""
2122,15,9,NA,NA,NA,NA,NA,NA,""
1145,29,NA,NA,NA,NA,NA,NA,NA,""
1146,NA,NA,NA,NA,NA,NA,NA,NA,""
1196,10,15,NA,NA,NA,NA,NA,NA,""
1197,15,15,NA,NA,NA,NA,NA,NA,""
1198,15,10,NA,NA,NA,NA,NA,NA,""
1199,30,2,NA,NA,NA,NA,NA,NA,""
1200,20,15,NA,NA,NA,NA,NA,NA,""
128,15,4,NA,NA,NA,NA,NA,NA,""
60,11,10,NA,NA,NA,NA,NA,NA,""
61,15,15,NA,NA,NA,NA,NA,NA,""
331,11,15,NA,NA,NA,NA,NA,NA,""
2129,2,7,NA,NA,NA,NA,NA,NA,""
1201,8,15,NA,NA,NA,NA,NA,NA,""
129,8,4,NA,NA,NA,NA,NA,NA,""
332,10,15,NA,NA,NA,NA,NA,NA,""
62,10,7,NA,NA,NA,NA,NA,NA,""
130,7,6,NA,NA,NA,NA,NA,NA,""
63,4,5,NA,NA,NA,NA,NA,NA,""
333,15,15,NA,NA,NA,NA,NA,NA,""
1202,8,15,NA,NA,NA,NA,NA,NA,""
334,15,15,NA,NA,NA,NA,NA,NA,""
1203,6,8,NA,NA,NA,NA,NA,NA,""
131,50,9,NA,NA,NA,NA,NA,NA,""
132,50,9,NA,NA,NA,NA,NA,NA,""
133,40,9,NA,NA,NA,NA,NA,NA,""
134,50,9,NA,NA,NA,NA,NA,NA,""
135,50,9,NA,NA,NA,NA,NA,NA,""
136,20,9,NA,NA,NA,NA,NA,NA,""
1147,21,4,NA,NA,NA,NA,NA,NA,""
1148,21,4,NA,NA,NA,NA,NA,NA,""
1149,21,4,NA,NA,NA,NA,NA,NA,""
1150,15,9,NA,NA,NA,NA,NA,NA,""
1151,15,9,NA,NA,NA,NA,NA,NA,""
1152,15,9,NA,NA,NA,NA,NA,NA,""
1153,9,13,NA,NA,NA,NA,NA,NA,""
137,9,9,NA,NA,NA,NA,NA,NA,""
138,26,6,NA,NA,NA,NA,NA,NA,""
64,15,9,NA,NA,NA,NA,NA,NA,""
65,15,9,NA,NA,NA,NA,NA,NA,""
66,15,9,NA,NA,NA,NA,NA,NA,""
67,15,15,NA,NA,NA,NA,NA,NA,""
2132,10,12,NA,NA,NA,NA,NA,NA,""
