"SalmGeneticRowID","FishGenID","GeneticID","Probability1","GeneticID2","Probability2","Comments_Salmon","Comments_SalmonDataUsage","RunID"
1,"2015-001CHNF","Fall",0.8514,"LateFall",0.1459,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
2,"2015-001CHNS","LateFall",0.5112,"Fall",0.4886,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
3,"2015-001CHNW","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
4,"2015-002CHNF","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
5,"2015-002CHNS","Fall",0.5992,"Spring",0.398,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
6,"2015-003CHNF","Fall",0.9083,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
7,"2015-003CHNS","Fall",0.9987,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
8,"2015-004CHNF","Fall",0.9175,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
9,"2015-004CHNS","Fall",0.5074,"LateFall",0.4925,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
10,"2015-005CHNF","Fall",0.9807,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
11,"2015-005CHNS","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
12,"2015-006CHNF","Fall",0.9939,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
13,"2015-006CHNS","Fall",0.9546,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
14,"2015-007CHNF","Fall",0.9996,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
15,"2015-007CHNS","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
16,"2015-008CHNF","Fall",0.9997,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
17,"2015-008CHNS","LateFall",0.9499,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
18,"2015-009CHNF","Fall",0.9966,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
19,"2015-009CHNS","Fall",0.5036,"LateFall",0.4964,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
20,"2015-010CHNF","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
21,"2015-010CHNS","Fall",0.9991,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
22,"2015-011CHNF","Fall",0.9998,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
23,"2015-011CHNS","Fall",0.9859,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
24,"2015-012CHNF","Fall",0.9983,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
25,"2015-012CHNS","Fall",0.9936,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
26,"2015-013CHNF","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
27,"2015-013CHNS","Fall",0.9927,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
28,"2015-014CHNF","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
29,"2015-015CHNF","Fall",0.9979,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
30,"2015-016CHNF","Fall",0.9704,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
31,"2015-017CHNF","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
32,"2015-018CHNF","Fall",0.9996,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
33,"2015-019CHNF","Fall",0.9942,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
34,"2015-020CHNF","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
35,"2015-021CHNF","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
36,"2015-022CHNF","LateFall",0.5306,"Fall",0.4691,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
37,"2015-023CHNF","Fall",0.9997,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
38,"2015-024CHNF","Fall",0.9996,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
39,"2016ACHN013","Fall",0.5765,"LateFall",0.4235,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
40,"2016ACHN014","Fall",0.9508,"Spring",0.0487,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
41,"2016ACHN023","Fall",0.965,"LateFall",0.035,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
42,"2016ACHN024","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
43,"2016ACHN025","Fall",0.9368,"Spring",0.0632,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
44,"2016ACHN026","Fall",0.9987,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
45,"2016ACHN027","Fall",0.9995,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
46,"2016ACHN030","Fall",0.6026,"LateFall",0.3974,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
47,"2016ACHN031","Fall",0.9998,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
48,"2016ACHN036","Fall",0.9778,"Spring",0.0222,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
49,"2016ACHN062","Fall",0.9952,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
50,"2016Ad_plus-F_001","Fall",0.9088,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
51,"2016Ad_plus-F_002","Fall",0.8966,"LateFall",0.1034,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
52,"2016Ad_plus-F_003","Fall",0.9808,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
53,"2016Ad_plus-F_004","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
54,"2016Ad_plus-F_005","Fall",0.9898,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
55,"2016Ad_plus-F_006","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
56,"2016Ad_plus-F_013","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
57,"2016Ad_plus-F_014","Fall",0.9549,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
58,"2016Ad_plus-F_015","Fall",0.9969,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
