Sample ID,final_call,Fall,Late_fall,Spring,Winter,probability,tributary,Status,Notes
2025_ACHN_004,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025_ACHN_005,Fall,1,0,0,0,1,NA,Complete,
2025_ACHN_006,Fall,1,0,0,0,1,NA,Complete,
2025_ACHN_007,Fall,1,0,0,0,1,NA,Complete,
2025Ad_min-W_001,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_001,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_002,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_003,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_004,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_005,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_006,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_007,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_008,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_009,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_010,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_011,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_012,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_013,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_014,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_015,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_016,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_017,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_018,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_019,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_020,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_021,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_022,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_023,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_024,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_025,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_026,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_027,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_028,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_029,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_030,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_031,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_032,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_033,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_034,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_035,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_036,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_037,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_038,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_039,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_040,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_041,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_042,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_043,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_044,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_045,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_046,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_047,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_048,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_049,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_050,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_051,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_052,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_053,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_054,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_055,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_056,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_057,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_058,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_059,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_060,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_061,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_062,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_063,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_064,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_065,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_066,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_067,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_068,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_069,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_070,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_071,Spring,1,0,0,0,1,Feather,Complete,"Feather River Spring always come up as fall in GSI, but for runtype (Ots28) they are spring"
