SampleID,OrganismCode,ForkLength,TotalLength,Weight,Sex,Spawning Condition,MarkCode,Race,StageCode,Dead,CWTSample,Genetic Sample,Direct Take,Indirect Take,FishTagID,Count,Plus Count,Comments,s_ColLineage,s_Generation,s_Lineage
10298,LMB,34,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,LP,59,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,38,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,42,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,50,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,LMB,65,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,48,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,LP,69,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,40,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,RES,108,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,LP,70,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,LP,70,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,LP,53,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,LP,52,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,LP,65,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,LMB,71,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,43,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,SPLT,59,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,5,TRUE,,,,
10298,MSS,36,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,43,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,41,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,44,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,55,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,44,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,55,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,33,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,38,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
10298,MSS,40,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,,,,
