SalmGenRowID,FishTagID,BestEstimate,Prob1,2ndBestEstimate,Prob2,Comments
1500,2015-001CHNF,F,0.851400018,LF,0.145899996,
1501,2015-001CHNS,LF,0.511200011,F,0.488599986,
1502,2015-001CHNW,F,1,,0,
1503,2015-002CHNF,F,1,,0,
1504,2015-002CHNS,F,0.59920001,S,0.398000002,
1505,2015-003CHNF,F,0.908299983,,0,
1506,2015-003CHNS,F,0.998700023,,0,
1507,2015-004CHNF,F,0.917500019,,0,
1508,2015-004CHNS,F,0.507399976,LF,0.492500007,
1509,2015-005CHNF,F,0.980700016,,0,
1510,2015-005CHNS,F,1,,0,
1511,2015-006CHNF,F,0.993900001,,0,
1512,2015-006CHNS,F,0.954599977,,0,
1513,2015-007CHNF,F,0.999599993,,0,
1514,2015-007CHNS,F,1,,0,
1515,2015-008CHNF,F,0.99970001,,0,
1516,2015-008CHNS,LF,0.949899971,,0,
1517,2015-009CHNF,F,0.996599972,,0,
1518,2015-009CHNS,F,0.503600001,LF,0.496399999,
1519,2015-010CHNF,F,1,,0,
1520,2015-010CHNS,F,0.999100029,,0,
1521,2015-011CHNF,F,0.999800026,,0,
1522,2015-011CHNS,F,0.985899985,,0,
1523,2015-012CHNF,F,0.998300016,,0,
1524,2015-012CHNS,F,0.993600011,,0,
1525,2015-013CHNF,F,1,,0,
1526,2015-013CHNS,F,0.992699981,,0,
1527,2015-014CHNF,F,1,,0,
1528,2015-015CHNF,F,0.997900009,,0,
1529,2015-016CHNF,F,0.970399976,,0,
1530,2015-017CHNF,F,0.999899983,,0,
1531,2015-018CHNF,F,0.999599993,,0,
1532,2015-019CHNF,F,0.994199991,,0,
1533,2015-020CHNF,F,1,,0,
1534,2015-021CHNF,F,1,,0,
1535,2015-022CHNF,LF,0.530600011,F,0.469099998,
1536,2015-023CHNF,F,0.99970001,,0,
1537,2015-024CHNF,F,0.999599993,,0,
1490,2016ACHN013,F,0.576499999,LF,0.423500001,
1491,2016ACHN014,F,0.950800002,S,0.048700001,
1492,2016ACHN023,F,0.964999974,LF,0.035,
1489,2016ACHN024,F,1,,0,
1493,2016ACHN025,F,0.936800003,S,0.063199997,
