SampleID,SampleRowID,StationCode,SampleDate,SampleTime,MethodCode,GearID,GearConditionCode,SampleAltered,WeatherCode,VegetationRank,MicrocystisVisualRank,YSI Handheld #,WaterTemperature,Secchi,Too Clear For Secchi,Conductivity,SpCnd,DO,pH,Turbidity,Entered By,Checked By,UserName,AgencyCode,s_ColLineage,s_Generation,s_Lineage,DataCorrectionComments
1,{34F33951-FE24-408A-92D5-593E96196CE2},PCS,10/5/2009,12:45:00 PM,FKTR,FKTR,1,No,CLR,,,,18.90,0.19,FALSE,846,,9.47,8.38,,,,bhale,,,0,,
2,{2F95CDF6-A6C7-411C-9868-33D208FEEC5C},PCS,10/6/2009,10:00:00 AM,FKTR,FKTR,1,No,CLR,,,,17.40,0.2,FALSE,824,,8.36,8.35,,,,jamartin,,,0,,
3,{C55D8927-AED3-4411-AFB8-5B8D25D60E91},PCS,10/7/2009,9:25:00 AM,FKTR,FKTR,1,No,CLR,,,,17.40,0.2,FALSE,834,,8.81,8.44,,,,jamartin,,,0,,
4,{2D7EA4F5-097D-4744-B9D3-9A291C041391},PCS,10/8/2009,10:00:00 AM,FKTR,FKTR,1,No,CLR,,,,17.00,0.17,FALSE,660,,8.26,8.42,,,,jamartin,,,0,,
5,{8AC20ECD-4E7A-4558-8336-EC8447726401},PCS,10/12/2009,9:38:00 AM,FKTR,FKTR,1,No,CLD,,,,15.50,0.17,FALSE,275,,8.50,8.31,,,,jamartin,,,0,,
6,{AE7D20DC-3495-481C-80EB-D690FE4262D0},PCS,10/13/2009,10:00:00 AM,FKTR,FKTR,1,No,RAN,,,,15.70,0.13,FALSE,259,,8.49,8.21,,,,jamartin,,,0,,
7,{D4FF14E1-F21D-4882-ACD0-F99138B6FF6F},PCS,10/14/2009,2:00:00 PM,FKTR,FKTR,1,No,CLR,,,,16.50,0.17,FALSE,565,,9.35,7.93,,,,jamartin,,,0,,
8,{A88E9E79-EF10-4A9A-9FF2-369938EF00E2},PCS,10/15/2009,11:20:00 AM,FKTR,FKTR,1,No,CLD,,,,16.90,0.18,FALSE,540,,6.65,7.83,,,,jamartin,,,0,,
9,{755CCBAA-CB6B-4F87-A69C-76CED961338C},PCS,10/19/2009,9:55:00 AM,FKTR,FKTR,1,No,RAN,,,,17.50,0.2,FALSE,415,,6.43,8.13,,,,jamartin,,,0,,
10,{C52DFA70-3ED1-44F2-A198-AC6615D29F30},YB,10/15/2009,12:35:00 PM,BSEIN,SEIN50,1,No,CLR,,,,19.10,0.18,FALSE,760,,5.98,7.91,,,,jamartin,,,0,,
11,{DAB78F30-36D3-4DDB-AE8B-1974F172239E},BL4,10/15/2009,10:15:00 AM,BSEIN,SEIN50,1,No,CLD,,,,16.50,0.16,FALSE,483,,8.18,8.25,,,,jamartin,,,0,,
12,{E49CE199-1F21-4FDD-AC69-EE312B606CEB},PCS,10/20/2009,9:55:00 AM,FKTR,FKTR,1,No,CLR,,,,16.80,0.19,FALSE,427,,5.41,8.06,,,,jamartin,,,0,,
